Player,Pos,Age,MP,Starts,Min,90s,Gls,Ast,CrdY,CrdR,Gls_p90,Ast_p90,Country
Steven Moreira,DF,31-326,4.0,3,301.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,Cabo Verde
Sidny Lopes Cabral,DF,23-290,3.0,3,285.0,3.2,1.0,0.0,2.0,0.0,0.32,0.0,Cabo Verde
Jamiro Monteiro,MF,32-224,4.0,3,281.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,Cabo Verde
Deroy Duarte,MF,27-001,4.0,2,264.0,2.9,1.0,0.0,0.0,0.0,0.34,0.0,Cabo Verde
Dailon Livramento,FW,25-062,3.0,2,174.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,Cabo Verde
Laros Duarte,MF,29-127,4.0,2,166.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,Cabo Verde
Jovane Cabral,FW,28-021,2.0,2,139.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,Cabo Verde
Nuno da Costa,FW,35-145,4.0,1,159.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,Cabo Verde
Willy Semedo,FW,32-069,3.0,1,131.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,Cabo Verde
João Paulo Fernandes,DF,28-040,2.0,1,105.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,Cabo Verde
Wagner Pina,DF,23-244,1.0,1,89.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,Cabo Verde
Gilson Benchimol,FW,24-188,2.0,1,78.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,Cabo Verde
Garry Rodrigues,MF,35-220,2.0,1,76.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,Cabo Verde
Telmo Arcanjo,MF,25-014,2.0,1,57.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,Cabo Verde
Hélio Varela,FW,24-063,3.0,0,104.0,1.2,1.0,0.0,0.0,0.0,0.87,0.0,Cabo Verde
Yannick,MF,30-188,2.0,0,32.0,0.4,0.0,1.0,0.0,0.0,0.0,2.81,Cabo Verde
Logan Costa,DF,25-095,0.0,0,,,,,,,,,Cabo Verde
C.J. dos Santos,GK,25-315,0.0,0,,,,,,,,,Cabo Verde
Kelvin Pires,DF,26-030,0.0,0,,,,,,,,,Cabo Verde
Márcio Rosa,GK,29-132,0.0,0,,,,,,,,,Cabo Verde
Stopira,DF,38-046,0.0,0,,,,,,,,,Cabo Verde
Maxime Crépeau,GK,32-051,4.0,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Canada
Alistair Johnston,DF,27-266,4.0,4,360.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,Canada
Richie Laryea,DF,31-175,4.0,4,352.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0,Canada
Jonathan David,FW,26-168,4.0,4,330.0,3.7,3.0,0.0,0.0,0.0,0.82,0.0,Canada
Derek Cornelius,DF,28-218,4.0,4,315.0,3.5,0.0,0.0,1.0,0.0,0.0,0.0,Canada
Tajon Buchanan,MF,27-143,4.0,4,290.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,Canada
Stephen Eustáquio,MF,29-192,4.0,3,302.0,3.4,1.0,0.0,0.0,0.0,0.3,0.0,Canada
Luc De Fougerolles,DF,20-262,4.0,3,282.0,3.1,0.0,0.0,1.0,0.0,0.0,0.0,Canada
Tani Oluwaseyi,FW,26-047,4.0,2,197.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,Canada
Nathan Saliba,MF,22-144,3.0,2,182.0,2.0,1.0,2.0,1.0,0.0,0.49,0.99,Canada
Cyle Larin,FW,31-075,3.0,2,162.0,1.8,2.0,0.0,1.0,0.0,1.11,0.0,Canada
Liam Millar,MF,26-277,3.0,2,162.0,1.8,0.0,0.0,1.0,0.0,0.0,0.0,Canada
Ali Ahmed,MF,25-264,3.0,2,157.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,Canada
Ismaël Koné,MF,24-015,2.0,2,146.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,Canada
Moïse Bombito,DF,26-093,2.0,1,103.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,Canada
